"status"	"family"	"pval"	"qval"	"gene_short_name"	"cluster"	"avg_logFC"
"1"	"OK"	"negbinomial.size"	5.90991696375202e-35	7.94529236606822e-31	"ATF3"	"3"	1.39962820655993
"2"	"OK"	"negbinomial.size"	2.19842168460867e-19	1.47777905639395e-15	"NFKBIZ"	"3"	0.960577701406168
"3"	"OK"	"negbinomial.size"	3.71441935651997e-19	1.66455512763515e-15	"EGR1"	"3"	1.16691772122686
"4"	"OK"	"negbinomial.size"	9.97754841009923e-19	3.35345402063435e-15	"JUNB"	"3"	1.10612376597565
"5"	"OK"	"negbinomial.size"	1.84585200115278e-17	4.96312686069961e-14	"CCL4"	"3"	0.948357719361857
"6"	"OK"	"negbinomial.size"	1.75629305800756e-15	3.9352673119756e-12	"CD83"	"3"	1.00667275169369
"7"	"OK"	"negbinomial.size"	2.0325354975576e-13	3.90362960416634e-10	"ADAMTS1"	"3"	0.720752447620684
"8"	"OK"	"negbinomial.size"	6.95487130093003e-13	1.16876612212129e-09	"IL1B"	"3"	0.715567204935423
"9"	"OK"	"negbinomial.size"	1.52243922849564e-12	2.27418588754394e-09	"CD74"	"3"	1.14545869387346
"10"	"OK"	"negbinomial.size"	7.84003759894467e-12	1.05401465480212e-08	"TTR"	"2"	0.432025827364193
"11"	"OK"	"negbinomial.size"	1.4069175386177e-11	1.71950903537967e-08	"FOSB"	"3"	0.728939531041626
"12"	"OK"	"negbinomial.size"	2.68788084362987e-10	3.01132250514666e-07	"REL"	"3"	0.663674160040099
"13"	"OK"	"negbinomial.size"	6.65889503070109e-10	6.88632190713427e-07	"KLF2"	"3"	0.792636635825504
"14"	"OK"	"negbinomial.size"	1.40929986922869e-09	1.35333053156504e-06	"H2.K1"	"3"	0.812428810717743
"15"	"OK"	"negbinomial.size"	1.24493870158303e-08	1.11579706027215e-05	"NFKBIA"	"3"	0.691308045208422
"16"	"OK"	"negbinomial.size"	2.07305814793609e-08	1.7418871088033e-05	"H3F3B"	"3"	0.717231255081124
"17"	"OK"	"negbinomial.size"	7.72233525145036e-08	6.10700441885286e-05	"IER2"	"3"	0.586803526757787
"18"	"OK"	"negbinomial.size"	1.0242427547937e-07	7.64995533080365e-05	"FCRLS"	"2"	0.515234295669162
"19"	"OK"	"negbinomial.size"	1.11869470499226e-07	7.91564821785051e-05	"IL1A"	"3"	0.499864205188434
"20"	"OK"	"negbinomial.size"	4.59955709251574e-07	0.000309182227758908	"FOS"	"3"	0.641053299168482
"21"	"OK"	"negbinomial.size"	5.16039364862845e-07	0.000330363486724576	"C1QA"	"4"	0.309877958859848
"22"	"OK"	"negbinomial.size"	1.15315181974158e-06	0.000704680593845718	"GM10269"	"3"	0.444920678909101
"23"	"OK"	"negbinomial.size"	1.371526622479e-06	0.000801687126635117	"BTG2"	"3"	0.595236887420487
"24"	"OK"	"negbinomial.size"	2.83832795881332e-06	0.00158993671159526	"UBC"	"3"	0.405123610715334
"25"	"OK"	"negbinomial.size"	3.17718010590068e-06	0.00170856037374915	"GPX1"	"3"	0.662330492094363
"26"	"OK"	"negbinomial.size"	3.94489107891785e-06	0.00203981214096045	"IER5"	"3"	0.597742538640965
"27"	"OK"	"negbinomial.size"	4.54936055828109e-06	0.002265244568353	"CSF1"	"3"	0.326369383567761
"28"	"OK"	"negbinomial.size"	4.99228971684015e-06	0.00239701224832853	"ICAM1"	"3"	0.433252125843137
"29"	"OK"	"negbinomial.size"	5.31969131961287e-06	0.00246613552071984	"H2.AB1"	"3"	0.441331372580741
"30"	"OK"	"negbinomial.size"	5.84425258626236e-06	0.00261900439232371	"SNAPC1"	"3"	0.255242422188098
"31"	"OK"	"negbinomial.size"	6.77652786550364e-06	0.00293882711689777	"JUN"	"3"	0.332842655904673
"32"	"OK"	"negbinomial.size"	7.19644671030654e-06	0.00302340717416753	"KLF6"	"3"	0.457307231058112
"33"	"OK"	"negbinomial.size"	8.34449147926016e-06	0.00339949525597496	"LGMN"	"2"	0.280826139509967
"34"	"OK"	"negbinomial.size"	1.09449175339414e-05	0.00432774915665612	"H2.AA"	"3"	0.380140546945555
"35"	"OK"	"negbinomial.size"	1.13790515893961e-05	0.00437085627336688	"P2RY12"	"2"	0.434463416975197
"36"	"OK"	"negbinomial.size"	1.3950751595274e-05	0.00520983067907955	"FTH1"	"3"	0.626702829549446
"37"	"OK"	"negbinomial.size"	1.84104102794717e-05	0.00662491750000795	"CHD4"	"2"	0.234160765408278
"38"	"OK"	"negbinomial.size"	1.87255924576244e-05	0.00662491750000795	"PCF11"	"3"	0.351833832357546
